Date,Series,Value
2011-07-28,MSNBC,0
2011-07-29,MSNBC,0
2011-07-30,MSNBC,0
2011-07-31,MSNBC,0
2011-08-01,MSNBC,0
2011-08-02,MSNBC,0.0224
2011-08-03,MSNBC,0
2011-08-04,MSNBC,0
2011-08-05,MSNBC,0
2011-08-06,MSNBC,0
2011-08-07,MSNBC,0.0901
2011-08-08,MSNBC,0
2011-08-09,MSNBC,0.0229
2011-08-10,MSNBC,0
2011-08-11,MSNBC,0
2011-08-12,MSNBC,0
2011-08-13,MSNBC,0.0343
2011-08-14,MSNBC,0
2011-08-15,MSNBC,0
2011-08-16,MSNBC,0
2011-08-17,MSNBC,0
2011-08-18,MSNBC,0
2011-08-19,MSNBC,0
2011-08-20,MSNBC,0.0680
2011-08-21,MSNBC,0
2011-08-22,MSNBC,0
2011-08-23,MSNBC,0.0663
2011-08-24,MSNBC,0
2011-08-25,MSNBC,0.0228
2011-08-26,MSNBC,0.1604
2011-08-27,MSNBC,0
2011-08-28,MSNBC,0
2011-08-29,MSNBC,0
2011-08-30,MSNBC,0
2011-08-31,MSNBC,0
2011-09-01,MSNBC,0
2011-09-02,MSNBC,0
2011-09-03,MSNBC,0
2011-09-04,MSNBC,0
2011-09-05,MSNBC,0
2011-09-06,MSNBC,0.0451
2011-09-07,MSNBC,0.0895
2011-09-08,MSNBC,0
2011-09-09,MSNBC,0
2011-09-10,MSNBC,0
2011-09-11,MSNBC,0
2011-09-12,MSNBC,0.0229
2011-09-13,MSNBC,0
2011-09-14,MSNBC,0
2011-09-15,MSNBC,0.0442
2011-09-16,MSNBC,0
2011-09-17,MSNBC,0
2011-09-18,MSNBC,0
2011-09-19,MSNBC,0
2011-09-20,MSNBC,0
2011-09-21,MSNBC,0.0872
2011-09-22,MSNBC,0
2011-09-23,MSNBC,0
2011-09-24,MSNBC,0
2011-09-25,MSNBC,0
2011-09-26,MSNBC,0
2011-09-27,MSNBC,0
2011-09-28,MSNBC,0
2011-09-29,MSNBC,0.0897
2011-09-30,MSNBC,0.0451
2011-10-01,MSNBC,0.2646
2011-10-02,MSNBC,0.1302
2011-10-03,MSNBC,0.1896
2011-10-04,MSNBC,0.0666
2011-10-05,MSNBC,0
2011-10-06,MSNBC,0
2011-10-07,MSNBC,0
2011-10-08,MSNBC,0
2011-10-09,MSNBC,0
2011-10-10,MSNBC,0.0316
2011-10-11,MSNBC,0
2011-10-12,MSNBC,0
2011-10-13,MSNBC,0.0665
2011-10-14,MSNBC,0
2011-10-15,MSNBC,0
2011-10-16,MSNBC,0
2011-10-17,MSNBC,0
2011-10-18,MSNBC,0.0223
2011-10-19,MSNBC,0.0220
